Company Name,Job Title,Location,job_category,salary_in_inr
Mu Sigma,Data Scientist,Bangalore,Data Scientist,648573.0
IBM,Data Scientist,Bangalore,Data Scientist,1191950.0
Tata Consultancy Services,Data Scientist,Bangalore,Data Scientist,836874.0
Impact Analytics,Data Scientist,Bangalore,Data Scientist,669578.0
Accenture,Data Scientist,Bangalore,Data Scientist,944110.0
Infosys,Data Scientist,Bangalore,Data Scientist,908764.0
Capgemini,Data Scientist,Bangalore,Data Scientist,926124.0
Cognizant Technology Solutions,Data Scientist,Bangalore,Data Scientist,736708.0
Anheuser-Busch InBev,Data Scientist,Bangalore,Data Scientist,1646721.0
Fractal,Data Scientist,Bangalore,Data Scientist,1392960.0
Embibe,Data Scientist,Bangalore,Data Scientist,1404773.0
Amazon,Data Scientist,Bangalore,Data Scientist,1507343.0
Google,Data Scientist,Bangalore,Data Scientist,1558095.0
Flipkart,Data Scientist,Bangalore,Data Scientist,2557843.0
HP Inc.,Data Scientist,Bangalore,Data Scientist,1510081.0
Wipro,Data Scientist,Bangalore,Data Scientist,732821.0
Ericsson-Worldwide,Data Scientist,Bangalore,Data Scientist,1221750.0
MiQ,Data Scientist,Bangalore,Data Scientist,1739484.0
Deloitte,Data Scientist,Bangalore,Data Scientist,1124939.0
Microsoft,Data Scientist,Bangalore,Data Scientist,1630396.0
Genpact,Data Scientist,Bangalore,Data Scientist,1009436.0
Fresher,Data Scientist,Bangalore,Data Scientist,550980.0
Société Générale,Data Scientist,Bangalore,Data Scientist,1870000.0
Flutura,Data Scientist,Bangalore,Data Scientist,758376.0
Fuzzy Logix,Data Scientist,Bangalore,Data Scientist,1556575.0
DXC Technology,Data Scientist,Bangalore,Data Scientist,1194327.0
Jio,Data Scientist,Bangalore,Data Scientist,1470000.0
Honeywell,Data Scientist,Bangalore,Data Scientist,1549942.0
Affine,Data Scientist,Bangalore,Data Scientist,1009436.0
Philips,Data Scientist,Bangalore,Data Scientist,1541572.0
Bharat Light & Power,Data Scientist,Bangalore,Data Scientist,811182.0
Antuit,Data Scientist,Bangalore,Data Scientist,1205874.0
Nielsen,Data Scientist,Bangalore,Data Scientist,727111.0
[24]7.ai,Data Scientist,Bangalore,Data Scientist,1923257.0
Fidelity Investments,Data Scientist,Bangalore,Data Scientist,2143501.0
Myntra,Data Scientist,Bangalore,Data Scientist,1926965.0
First Student,Data Scientist,Bangalore,Data Scientist,495252.0
Oracle,Data Scientist,Bangalore,Data Scientist,1294984.0
Ola,Data Scientist,Bangalore,Data Scientist,2334960.0
Walmart Global Tech,Data Scientist,Bangalore,Data Scientist,2267616.0
Tredence,Data Scientist,Bangalore,Data Scientist,1366992.0
Intel Corporation,Data Scientist,Bangalore,Data Scientist,1453427.0
Mercedes-Benz Research and Development India,Data Scientist,Bangalore,Data Scientist,1458032.0
SAP,Data Scientist,Bangalore,Data Scientist,1730166.0
Wipro Technologies,Data Scientist,Bangalore,Data Scientist,658109.0
Thoucentric,Data Scientist,Bangalore,Data Scientist,794460.0
Walmart,Data Scientist,Bangalore,Data Scientist,2567381.0
Brillio,Data Scientist,Bangalore,Data Scientist,1637231.0
Great Learning,Data Scientist,Bangalore,Data Scientist,900000.0
Gramener,Data Scientist,Bangalore,Data Scientist,902935.0
HCL Technologies,Data Scientist,Bangalore,Data Scientist,970782.0
Happiest Minds Technologies,Data Scientist,Bangalore,Data Scientist,1050000.0
Hewlett Packard Enterprise | HPE,Data Scientist,Bangalore,Data Scientist,2119584.0
Noodle.ai,Data Scientist,Bangalore,Data Scientist,1687111.0
Cisco Systems,Data Scientist,Bangalore,Data Scientist,1465641.0
INSOFE,Data Scientist,Bangalore,Data Scientist,600000.0
Optum,Data Scientist,Bangalore,Data Scientist,1805869.0
Adobe,Data Scientist,Bangalore,Data Scientist,2624063.0
ABB,Data Scientist,Bangalore,Data Scientist,955297.0
EY,Data Scientist,Bangalore,Data Scientist,761478.0
Swiggy,Data Scientist,Bangalore,Data Scientist,2805476.0
Subex,Data Scientist,Bangalore,Data Scientist,969112.0
iNeuron,Data Scientist,Bangalore,Data Scientist,450979.0
ZS Associates,Data Scientist,Bangalore,Data Scientist,1338795.0
Robert Bosch India,Data Scientist,Bangalore,Data Scientist,1040493.0
Scienaptic Systems,Data Scientist,Bangalore,Data Scientist,1291549.0
FlyNava Technologies,Data Scientist,Bangalore,Data Scientist,599136.0
Nokia,Data Scientist,Bangalore,Data Scientist,1663189.0
UnitedHealth Group,Data Scientist,Bangalore,Data Scientist,1323387.0
Sigmoid Analytics,Data Scientist,Bangalore,Data Scientist,1246266.0
Idexcel,Data Scientist,Bangalore,Data Scientist,494147.0
Citi,Data Scientist,Bangalore,Data Scientist,1892758.0
GE Healthcare,Data Scientist,Bangalore,Data Scientist,1572054.0
SigTuple,Data Scientist,Bangalore,Data Scientist,2024533.0
Dell Technologies,Data Scientist,Bangalore,Data Scientist,1927564.0
iNeuron,Data Scientist,Bangalore,Data Scientist,800000.0
Ericsson IT Solutions & Services,Data Scientist,Bangalore,Data Scientist,2009790.0
Aptus Data Labs,Data Scientist,Bangalore,Data Scientist,831462.0
UniQreate,Data Scientist,Bangalore,Data Scientist,516323.0
LinkedIn,Data Scientist,Bangalore,Data Scientist,2333241.0
Apexon,Data Scientist,Bangalore,Data Scientist,1200000.0
Shadowfax Technologies,Data Scientist,Bangalore,Data Scientist,2006522.0
Bharti Airtel,Data Scientist,Bangalore,Data Scientist,2160000.0
Applied Materials,Data Scientist,Bangalore,Data Scientist,1341316.0
FICO,Data Scientist,Bangalore,Data Scientist,1634105.0
YouPlus,Data Scientist,Bangalore,Data Scientist,1389256.0
Mphasis,Data Scientist,Bangalore,Data Scientist,1000000.0
Target,Data Scientist,Bangalore,Data Scientist,1231116.0
Gojek,Data Scientist,Bangalore,Data Scientist,2352941.0
Blueocean Market Intelligence,Data Scientist,Bangalore,Data Scientist,744551.0
CRED,Data Scientist,Bangalore,Data Scientist,3014686.0
Rolls-Royce,Data Scientist,Bangalore,Data Scientist,1357204.0
Curl Analytics,Data Scientist,Bangalore,Data Scientist,1053196.0
J.P. Morgan,Data Scientist,Bangalore,Data Scientist,1337606.0
Knowledge Lens,Data Scientist,Bangalore,Data Scientist,585900.0
IBM,Data Scientist,Bangalore,Data Scientist,395436.0
ascena,Data Scientist,Bangalore,Data Scientist,1649930.0
QuantZig,Data Scientist,Bangalore,Data Scientist,1138060.0
Baker Hughes,Data Scientist,Bangalore,Data Scientist,1612744.0
Everlytics,Data Scientist,Bangalore,Data Scientist,432776.0
Siemens,Data Scientist,Bangalore,Data Scientist,987471.0
ANZ Bank,Data Scientist,Bangalore,Data Scientist,1512297.0
Lowe's Home Improvement,Data Scientist,Bangalore,Data Scientist,1752935.0
Nones,Data Scientist,Bangalore,Data Scientist,1197944.0
Bristlecone,Data Scientist,Bangalore,Data Scientist,923544.0
Altimetrik,Data Scientist,Bangalore,Data Scientist,587146.0
Head Digital Works,Data Scientist,Bangalore,Data Scientist,977543.0
Artivatic Data Labs,Data Scientist,Bangalore,Data Scientist,649755.0
HDFC Standard Life Insurance,Data Scientist,Bangalore,Data Scientist,1177531.0
AntWorks,Data Scientist,Bangalore,Data Scientist,1194925.0
American Express,Data Scientist,Bangalore,Data Scientist,1693208.0
ITC Infotech,Data Scientist,Bangalore,Data Scientist,414817.0
Aidetic,Data Scientist,Bangalore,Data Scientist,704193.0
NeenOpal,Data Scientist,Bangalore,Data Scientist,590000.0
Knowledge Foundry,Data Scientist,Bangalore,Data Scientist,1119069.0
Mindtree,Data Scientist,Bangalore,Data Scientist,669225.0
